what,kind,bundleId,bundleVersion,description,time
os,sysinfo,,,"win32",1408378486898
arch,sysinfo,,,"x86",1408378486898
ws,sysinfo,,,"win32",1408378486898
locale,sysinfo,,,"pt_BR",1408378486898
processors,sysinfo,,,"2",1408378486898
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1408378486898
java.runtime.version,sysinfo,,,"1.7.0_51-b13",1408378486898
java.specification.name,sysinfo,,,"Java Platform API Specification",1408378486898
java.specification.vendor,sysinfo,,,"Oracle Corporation",1408378486898
java.specification.version,sysinfo,,,"1.7",1408378486898
java.vendor,sysinfo,,,"Oracle Corporation",1408378486898
java.version,sysinfo,,,"1.7.0_51",1408378486898
java.vm.info,sysinfo,,,"mixed mode, sharing",1408378486898
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1408378486898
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1408378486898
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1408378486898
java.vm.specification.version,sysinfo,,,"1.7",1408378486898
java.vm.vendor,sysinfo,,,"Oracle Corporation",1408378486898
java.vm.version,sysinfo,,,"24.51-b03",1408378486898
started,bundle,org.tigris.subversion.subclipse.ui,1.4.8,"org.tigris.subversion.subclipse.ui",1408378487007
started,bundle,org.eclipse.ui.forms,3.4.0.v20090526,"org.eclipse.ui.forms",1408378487101
started,bundle,org.eclipse.mylyn.tasks.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.tasks.ui",1408378487569
started,bundle,org.eclipse.mylyn.team.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.team.ui",1408378487569
started,bundle,org.eclipse.jsch.core,1.1.100.I20090430-0408,"org.eclipse.jsch.core",1408378487584
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1408378487584
