127.0.0.1 - - [30/Sep/2014:07:54:06 -0300] "GET /Psearch/css/estilo.css HTTP/1.1" 200 1834
127.0.0.1 - - [30/Sep/2014:07:54:06 -0300] "GET /Psearch/_css/map.css HTTP/1.1" 200 15260
127.0.0.1 - - [30/Sep/2014:07:54:06 -0300] "GET /Psearch/_css/stars.css HTTP/1.1" 200 2004
127.0.0.1 - - [30/Sep/2014:07:54:06 -0300] "GET /Psearch/_javascript/jquery.js HTTP/1.1" 304 -
127.0.0.1 - - [30/Sep/2014:07:54:06 -0300] "GET /Psearch/images/logo.png HTTP/1.1" 200 30810
127.0.0.1 - - [30/Sep/2014:07:54:08 -0300] "GET /Psearch/pontos.xml HTTP/1.1" 200 412
127.0.0.1 - - [30/Sep/2014:07:54:08 -0300] "GET /Psearch/_img/proficon.png HTTP/1.1" 304 -
127.0.0.1 - - [30/Sep/2014:07:54:10 -0300] "GET /Psearch/_img/star_off.png HTTP/1.1" 200 1196
127.0.0.1 - - [30/Sep/2014:07:54:21 -0300] "GET /Psearch/map2.jsp HTTP/1.1" 200 9705
127.0.0.1 - - [30/Sep/2014:07:54:53 -0300] "GET /Psearch/index.jsp HTTP/1.1" 200 2846
127.0.0.1 - - [30/Sep/2014:07:54:53 -0300] "GET /Psearch/css/component2.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Sep/2014:07:54:53 -0300] "GET /Psearch/css/demo.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Sep/2014:07:54:53 -0300] "GET /Psearch/css/inicioCss.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Sep/2014:07:54:53 -0300] "GET /Psearch/css/style1.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Sep/2014:07:54:53 -0300] "GET /Psearch/css/component3.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Sep/2014:07:54:53 -0300] "GET /Psearch/css/component.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Sep/2014:07:54:53 -0300] "GET /Psearch/js/modernizr.custom.86080.js HTTP/1.1" 304 -
127.0.0.1 - - [30/Sep/2014:07:54:53 -0300] "GET /Psearch/images/LogoBranco.png HTTP/1.1" 304 -
127.0.0.1 - - [30/Sep/2014:07:54:53 -0300] "GET /Psearch/images/1.jpg HTTP/1.1" 304 -
127.0.0.1 - - [30/Sep/2014:07:54:53 -0300] "GET /Psearch/images/ModalIcon.png HTTP/1.1" 304 -
127.0.0.1 - - [30/Sep/2014:07:54:53 -0300] "GET /Psearch/images/6.jpg HTTP/1.1" 404 991
127.0.0.1 - - [30/Sep/2014:07:54:53 -0300] "GET /Psearch/images/3.jpg HTTP/1.1" 304 -
127.0.0.1 - - [30/Sep/2014:07:54:53 -0300] "GET /Psearch/images/4.jpg HTTP/1.1" 304 -
127.0.0.1 - - [30/Sep/2014:07:54:53 -0300] "GET /Psearch/images/2.jpg HTTP/1.1" 304 -
127.0.0.1 - - [30/Sep/2014:07:54:53 -0300] "GET /Psearch/images/5.jpg HTTP/1.1" 304 -
127.0.0.1 - - [30/Sep/2014:07:54:54 -0300] "GET /Psearch/css/images/posicao.png HTTP/1.1" 404 1011
127.0.0.1 - - [30/Sep/2014:07:54:54 -0300] "GET /Psearch/css/images/proficao.png HTTP/1.1" 404 1013
127.0.0.1 - - [30/Sep/2014:07:55:40 -0300] "GET /Psearch/index.jsp HTTP/1.1" 200 2860
127.0.0.1 - - [30/Sep/2014:07:55:40 -0300] "GET /Psearch/css/component2.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Sep/2014:07:55:40 -0300] "GET /Psearch/css/demo.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Sep/2014:07:55:40 -0300] "GET /Psearch/css/component.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Sep/2014:07:55:40 -0300] "GET /Psearch/css/component3.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Sep/2014:07:55:40 -0300] "GET /Psearch/css/style1.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Sep/2014:07:55:40 -0300] "GET /Psearch/js/modernizr.custom.86080.js HTTP/1.1" 304 -
127.0.0.1 - - [30/Sep/2014:07:55:40 -0300] "GET /Psearch/css/inicioCss.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Sep/2014:07:55:40 -0300] "GET /Psearch/images/6.jpg HTTP/1.1" 404 991
127.0.0.1 - - [30/Sep/2014:07:55:40 -0300] "GET /Psearch/images/1.jpg HTTP/1.1" 304 -
127.0.0.1 - - [30/Sep/2014:07:55:40 -0300] "GET /Psearch/images/4.jpg HTTP/1.1" 304 -
127.0.0.1 - - [30/Sep/2014:07:55:40 -0300] "GET /Psearch/images/2.jpg HTTP/1.1" 304 -
127.0.0.1 - - [30/Sep/2014:07:55:40 -0300] "GET /Psearch/images/3.jpg HTTP/1.1" 304 -
127.0.0.1 - - [30/Sep/2014:07:55:40 -0300] "GET /Psearch/images/5.jpg HTTP/1.1" 304 -
127.0.0.1 - - [30/Sep/2014:07:55:40 -0300] "GET /Psearch/images/ModalIcon.png HTTP/1.1" 304 -
127.0.0.1 - - [30/Sep/2014:07:55:40 -0300] "GET /Psearch/images/LogoBranco.png HTTP/1.1" 304 -
127.0.0.1 - - [30/Sep/2014:07:55:43 -0300] "GET /Psearch/css/images/proficao.png HTTP/1.1" 404 1013
127.0.0.1 - - [30/Sep/2014:07:55:43 -0300] "GET /Psearch/css/images/posicao.png HTTP/1.1" 404 1011
127.0.0.1 - - [30/Sep/2014:07:56:27 -0300] "GET /Psearch/index.jsp HTTP/1.1" 200 2860
127.0.0.1 - - [30/Sep/2014:07:56:27 -0300] "GET /Psearch/css/demo.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Sep/2014:07:56:27 -0300] "GET /Psearch/css/style1.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Sep/2014:07:56:27 -0300] "GET /Psearch/css/component.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Sep/2014:07:56:27 -0300] "GET /Psearch/css/component2.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Sep/2014:07:56:27 -0300] "GET /Psearch/css/component3.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Sep/2014:07:56:27 -0300] "GET /Psearch/css/inicioCss.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Sep/2014:07:56:27 -0300] "GET /Psearch/js/modernizr.custom.86080.js HTTP/1.1" 304 -
127.0.0.1 - - [30/Sep/2014:07:56:27 -0300] "GET /Psearch/images/LogoBranco.png HTTP/1.1" 304 -
127.0.0.1 - - [30/Sep/2014:07:56:27 -0300] "GET /Psearch/images/ModalIcon.png HTTP/1.1" 304 -
127.0.0.1 - - [30/Sep/2014:07:56:27 -0300] "GET /Psearch/images/2.jpg HTTP/1.1" 304 -
127.0.0.1 - - [30/Sep/2014:07:56:27 -0300] "GET /Psearch/images/4.jpg HTTP/1.1" 304 -
127.0.0.1 - - [30/Sep/2014:07:56:27 -0300] "GET /Psearch/images/3.jpg HTTP/1.1" 304 -
127.0.0.1 - - [30/Sep/2014:07:56:27 -0300] "GET /Psearch/images/1.jpg HTTP/1.1" 304 -
127.0.0.1 - - [30/Sep/2014:07:56:27 -0300] "GET /Psearch/images/6.jpg HTTP/1.1" 404 991
127.0.0.1 - - [30/Sep/2014:07:56:27 -0300] "GET /Psearch/images/5.jpg HTTP/1.1" 304 -
127.0.0.1 - - [30/Sep/2014:07:56:28 -0300] "GET /Psearch/css/images/posicao.png HTTP/1.1" 404 1011
