127.0.0.1 - - [14/Sep/2014:15:04:07 -0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [14/Sep/2014:15:04:17 -0300] "GET /Psearch/home.jsp HTTP/1.1" 200 1495
0:0:0:0:0:0:0:1 - - [14/Sep/2014:15:04:17 -0300] "GET /Psearch/_css/inicioCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2014:15:04:17 -0300] "GET /Psearch/_css/component.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2014:15:04:17 -0300] "GET /Psearch/_css/btlogin.css HTTP/1.1" 404 999
0:0:0:0:0:0:0:1 - - [14/Sep/2014:15:04:17 -0300] "GET /Psearch/_css/normalize.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2014:15:04:17 -0300] "GET /Psearch/_imagens/proficao.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2014:15:04:17 -0300] "GET /Psearch/_imagens/Logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2014:15:04:17 -0300] "GET /Psearch/_imagens/posicao.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2014:15:04:29 -0300] "GET /Psearch/home.jsp HTTP/1.1" 200 1495
0:0:0:0:0:0:0:1 - - [14/Sep/2014:15:04:29 -0300] "GET /Psearch/_css/inicioCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2014:15:04:29 -0300] "GET /Psearch/_css/component.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2014:15:04:29 -0300] "GET /Psearch/_css/normalize.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2014:15:04:30 -0300] "GET /Psearch/_css/btlogin.css HTTP/1.1" 404 999
0:0:0:0:0:0:0:1 - - [14/Sep/2014:15:04:30 -0300] "GET /Psearch/_imagens/proficao.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2014:15:04:30 -0300] "GET /Psearch/_imagens/posicao.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2014:15:04:30 -0300] "GET /Psearch/_imagens/Logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2014:15:04:30 -0300] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [14/Sep/2014:15:04:34 -0300] "GET /Psearch/xmlcreate.jsp?Mlocalizacao=&profissao=Eletricista HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Sep/2014:15:04:35 -0300] "GET /Psearch/map.jsp HTTP/1.1" 200 5940
0:0:0:0:0:0:0:1 - - [14/Sep/2014:15:04:35 -0300] "GET /Psearch/pontos.xml HTTP/1.1" 200 55
0:0:0:0:0:0:0:1 - - [14/Sep/2014:15:05:01 -0300] "GET /Psearch/map.jsp HTTP/1.1" 200 5940
0:0:0:0:0:0:0:1 - - [14/Sep/2014:15:05:02 -0300] "GET /Psearch/pontos.xml HTTP/1.1" 200 1136
0:0:0:0:0:0:0:1 - - [14/Sep/2014:15:05:04 -0300] "GET /Psearch/_img/proficon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2014:15:05:06 -0300] "GET /Psearch/_img/default.png HTTP/1.1" 304 -
